"Timestamp","1.  What is your gender? ","2. What age group do you fall under?","3. What class of seat do you typically travel in during your flights? ","4. During your flights, which devices did you use?  ","5. How frequently did you use each device during your flights?  ","6. Approximately how many megabytes of data did you use per flight for internet purposes?   ","7. Did you connect any USB devices to the system during your flights?  ","7.1. If yes, please specify the type of USB devices used (e.g., charging, data transfer)  ","8. Was your flight domestic or international?","9. What was the duration of your flight?  ","10. How often do you typically travel by air in a year? ","11. Do you have frequent flyer status with any airline?   ","12. What is the primary purpose of your recent air travel?  "
"2024/10/10 7:44:51 am EEST","Male","18-24 years","Economy","Smartphone","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/10 7:46:02 am EEST","Male","25-34 years","Business","Laptop","Occasionally","100-500 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/10 7:46:44 am EEST","Female","25-34 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/10 7:47:21 am EEST","Female","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/10 7:47:53 am EEST","Female","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/10 7:48:40 am EEST","Female","25-34 years","Economy","None ","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/10 7:49:12 am EEST","Female","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/10 7:49:59 am EEST","Female","25-34 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","6-10 times","No","Business"
"2024/10/10 7:50:32 am EEST","Male","25-34 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","6-10 times","No","Business"
"2024/10/10 7:51:20 am EEST","Male","25-34 years","Economy","Laptop","Occasionally","0-100 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Business"
"2024/10/10 7:52:12 am EEST","Female","18-24 years","Economy","Smartphone","Rarely","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/10 7:52:56 am EEST","Male","25-34 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Business"
"2024/10/10 7:53:41 am EEST","Male","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Business"
"2024/10/10 7:54:15 am EEST","Female","25-34 years","Economy","Smartphone","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Business"
"2024/10/10 7:55:03 am EEST","Female","18-24 years","Economy","None ","Occasionally","0-100 MB","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/10 7:56:11 am EEST","Female","25-34 years","Business","Laptop","Occasionally","100-500 MB","Yes","Charging ","International","8-10 hours","Less than 5 times","No","Business"
"2024/10/10 7:56:54 am EEST","Female","25-34 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/10 7:57:36 am EEST","Female","25-34 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Earphone ","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
